Field Size,"Sc,p"
1.0,0.312
1.5,0.497
2.0,0.681
2.5,0.759
3.0,0.837
3.5,0.864
4.0,0.890
4.5,0.905
5.0,0.920
5.5,0.930
6.0,0.940
6.5,0.949
7.0,0.959
7.5,0.966
8.0,0.973
8.5,0.980
9.0,0.986
9.5,0.993
10.0,1.000
10.5,1.005
11.0,1.010
11.5,1.015
12.0,1.020
12.5,1.024
13.0,1.027
13.5,1.031
14.0,1.035
14.5,1.038
15.0,1.042
15.5,1.044
16.0,1.047
16.5,1.049
17.0,1.052
17.5,1.054
18.0,1.056
18.5,1.059
19.0,1.061
19.5,1.064
20.0,1.066
20.5,1.068
21.0,1.069
21.5,1.071
22.0,1.072
22.5,1.074
23.0,1.076
23.5,1.077
24.0,1.079
24.5,1.080
25.0,1.082
25.5,1.083
26.0,1.085
26.5,1.086
27.0,1.088
27.5,1.089
28.0,1.090
28.5,1.092
29.0,1.093
29.5,1.095
30.0,1.096
30.5,1.097
31.0,1.098
31.5,1.099
32.0,1.100
32.5,1.101
33.0,1.102
33.5,1.103
34.0,1.104
34.5,1.105
35.0,1.106
35.5,1.107
36.0,1.107
36.5,1.108
37.0,1.108
37.5,1.109
38.0,1.110
38.5,1.110
39.0,1.111
39.5,1.111
40.0,1.112
