PDD Table for NSA 2100CD #1201, 10 MV Photons, Wedge = NONE, SSD = 90.0, Normalization Depth = 10.0
Northside Hospital Cancer Center

Field Size Increases to the Right->
Depth,5.00,6.00,7.00,8.00,9.00,10.00,12.00,14.00,16.00,18.00,20.00,22.00,24.00,26.00,28.00,30.00
0.50,0.799,0.803,0.819,0.836,0.844,0.852,0.880,0.903,0.924,0.941,0.959,0.975,0.989,1.011,1.023,1.026
1.00,1.182,1.176,1.182,1.188,1.191,1.195,1.199,1.211,1.221,1.228,1.235,1.229,1.239,1.254,1.258,1.254
1.50,1.340,1.328,1.328,1.327,1.325,1.323,1.321,1.322,1.323,1.323,1.324,1.315,1.319,1.328,1.327,1.319
2.00,1.398,1.383,1.381,1.378,1.374,1.370,1.360,1.358,1.355,1.352,1.349,1.338,1.340,1.345,1.343,1.335
3.00,1.401,1.385,1.379,1.373,1.366,1.360,1.350,1.345,1.340,1.334,1.327,1.317,1.317,1.321,1.319,1.312
4.00,1.346,1.333,1.329,1.325,1.318,1.311,1.301,1.295,1.289,1.285,1.280,1.271,1.272,1.276,1.274,1.268
5.00,1.282,1.272,1.269,1.267,1.262,1.258,1.245,1.243,1.239,1.234,1.230,1.222,1.224,1.227,1.225,1.221
6.00,1.222,1.213,1.212,1.211,1.206,1.202,1.195,1.191,1.189,1.186,1.182,1.177,1.177,1.179,1.178,1.175
7.00,1.164,1.159,1.158,1.156,1.153,1.150,1.143,1.141,1.139,1.136,1.133,1.129,1.130,1.133,1.132,1.129
8.00,1.107,1.102,1.102,1.103,1.101,1.099,1.094,1.093,1.092,1.090,1.089,1.086,1.085,1.087,1.087,1.085
9.00,1.052,1.050,1.050,1.051,1.050,1.049,1.045,1.046,1.046,1.045,1.044,1.041,1.041,1.041,1.042,1.043
10.00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
12.00,0.904,0.905,0.907,0.908,0.910,0.912,0.911,0.914,0.916,0.917,0.918,0.919,0.920,0.922,0.922,0.922
14.00,0.814,0.815,0.818,0.821,0.825,0.828,0.832,0.835,0.838,0.841,0.843,0.841,0.844,0.847,0.849,0.849
16.00,0.734,0.737,0.741,0.745,0.749,0.753,0.757,0.762,0.766,0.769,0.772,0.772,0.775,0.780,0.781,0.781
18.00,0.665,0.668,0.672,0.676,0.680,0.684,0.690,0.695,0.699,0.703,0.706,0.708,0.712,0.716,0.718,0.719
20.00,0.601,0.605,0.609,0.613,0.618,0.622,0.628,0.634,0.639,0.643,0.646,0.649,0.653,0.658,0.659,0.660
22.00,0.544,0.547,0.553,0.558,0.562,0.566,0.573,0.580,0.584,0.589,0.592,0.594,0.598,0.605,0.606,0.607
24.00,0.493,0.496,0.501,0.507,0.511,0.515,0.522,0.529,0.534,0.539,0.543,0.545,0.550,0.554,0.556,0.557
26.00,0.446,0.449,0.455,0.460,0.465,0.469,0.476,0.482,0.487,0.492,0.496,0.498,0.504,0.507,0.509,0.511
28.00,0.404,0.406,0.413,0.419,0.423,0.427,0.435,0.441,0.446,0.451,0.455,0.457,0.461,0.465,0.468,0.470
30.00,0.365,0.369,0.375,0.381,0.384,0.388,0.395,0.401,0.407,0.412,0.417,0.419,0.423,0.428,0.428,0.430

RadCalc v6.3  Build 2.2
01/16/2018  10:25:23 AM
