TPR Table for NSA 2100CD #1201, 10 MV Photons, Wedge = NONE
Northside Hospital Cancer Center

Field Size Increases to the Right->
Depth,5.00,6.00,7.00,8.00,9.00,10.00,12.00,14.00,16.00,18.00,20.00,22.00,24.00,26.00,28.00,30.00
0.50,0.458,0.476,0.494,0.512,0.530,0.547,0.585,0.617,0.646,0.671,0.696,0.718,0.739,0.756,0.767,0.778
1.00,0.751,0.760,0.768,0.783,0.798,0.812,0.841,0.866,0.887,0.907,0.926,0.938,0.949,0.958,0.965,0.973
1.50,0.903,0.911,0.919,0.930,0.941,0.951,0.975,0.991,1.006,1.018,1.030,1.038,1.046,1.051,1.055,1.059
2.00,1.004,1.007,1.010,1.017,1.025,1.033,1.048,1.059,1.068,1.075,1.082,1.086,1.090,1.093,1.095,1.097
3.00,1.100,1.098,1.097,1.099,1.101,1.103,1.106,1.109,1.112,1.114,1.115,1.116,1.118,1.118,1.117,1.116
4.00,1.123,1.119,1.115,1.115,1.114,1.114,1.116,1.115,1.113,1.112,1.111,1.110,1.109,1.108,1.107,1.106
5.00,1.119,1.115,1.111,1.110,1.109,1.108,1.105,1.101,1.098,1.097,1.096,1.095,1.095,1.094,1.092,1.091
6.00,1.102,1.100,1.097,1.095,1.094,1.092,1.086,1.083,1.081,1.079,1.078,1.077,1.076,1.075,1.074,1.073
7.00,1.078,1.075,1.073,1.071,1.069,1.068,1.065,1.063,1.061,1.059,1.058,1.058,1.057,1.057,1.056,1.056
8.00,1.050,1.049,1.048,1.048,1.047,1.047,1.044,1.041,1.040,1.039,1.038,1.038,1.038,1.038,1.038,1.037
9.00,1.024,1.025,1.025,1.025,1.024,1.023,1.022,1.022,1.021,1.020,1.018,1.018,1.018,1.018,1.018,1.018
10.00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
12.00,0.946,0.949,0.952,0.953,0.955,0.957,0.957,0.958,0.959,0.959,0.960,0.960,0.961,0.961,0.963,0.964
14.00,0.896,0.899,0.902,0.904,0.907,0.910,0.911,0.913,0.916,0.918,0.920,0.921,0.923,0.924,0.926,0.927
16.00,0.850,0.854,0.858,0.861,0.864,0.867,0.870,0.873,0.876,0.879,0.881,0.883,0.885,0.887,0.888,0.890
18.00,0.804,0.809,0.813,0.817,0.821,0.825,0.832,0.834,0.837,0.840,0.843,0.845,0.847,0.850,0.852,0.855
20.00,0.760,0.765,0.771,0.775,0.779,0.783,0.789,0.794,0.798,0.802,0.806,0.808,0.811,0.813,0.815,0.817
22.00,0.721,0.727,0.734,0.737,0.741,0.744,0.750,0.758,0.763,0.767,0.770,0.773,0.776,0.779,0.782,0.785
24.00,0.682,0.687,0.692,0.697,0.701,0.706,0.713,0.720,0.725,0.730,0.735,0.737,0.740,0.743,0.746,0.750
26.00,0.647,0.652,0.658,0.662,0.666,0.671,0.678,0.684,0.691,0.697,0.703,0.705,0.708,0.711,0.714,0.717
28.00,0.614,0.620,0.625,0.630,0.634,0.638,0.644,0.651,0.657,0.665,0.672,0.675,0.678,0.680,0.682,0.684
30.00,0.580,0.586,0.591,0.596,0.600,0.604,0.611,0.619,0.626,0.632,0.639,0.642,0.644,0.647,0.650,0.653

RadCalc v6.3  Build 2.2
01/16/2018  10:25:31 AM
