PDD Table for NSH Trilogy #706, 6 MV Photons, Wedge = NONE, SSD = 100.0, Normalization Depth = 1.6,,,,,,,,,,,,
Northside Hospital Cancer Center,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Field Size Increases to the Right->,,,,,,,,,,,,,,,,
Depth,5,6,7,8,9,10,12,14,16,18,20,22,24,26,28,30
0.5,0.751,0.757,0.763,0.768,0.774,0.779,0.791,0.807,0.821,0.831,0.842,0.85,0.858,0.866,0.873,0.881
1,0.959,0.959,0.96,0.961,0.963,0.965,0.971,0.976,0.98,0.981,0.983,0.986,0.988,0.991,0.993,0.994
1.5,0.998,0.998,0.999,0.999,0.999,0.999,1.002,1.003,1.003,1.002,1.002,1.001,1.001,1.001,1.002,1.002
2,0.994,0.993,0.991,0.991,0.99,0.99,0.99,0.992,0.992,0.99,0.988,0.988,0.988,0.989,0.989,0.99
3,0.945,0.947,0.95,0.949,0.949,0.949,0.952,0.952,0.952,0.952,0.953,0.953,0.952,0.952,0.953,0.954
4,0.899,0.901,0.903,0.904,0.905,0.906,0.912,0.914,0.915,0.915,0.916,0.915,0.914,0.915,0.917,0.919
5,0.85,0.855,0.859,0.861,0.863,0.865,0.872,0.873,0.875,0.876,0.877,0.877,0.878,0.879,0.881,0.884
6,0.802,0.808,0.813,0.817,0.821,0.826,0.831,0.835,0.838,0.839,0.841,0.843,0.844,0.846,0.848,0.849
7,0.759,0.765,0.77,0.774,0.779,0.783,0.792,0.796,0.799,0.801,0.803,0.806,0.808,0.81,0.812,0.814
8,0.715,0.722,0.729,0.734,0.738,0.743,0.752,0.759,0.764,0.767,0.769,0.771,0.773,0.775,0.777,0.779
9,0.675,0.682,0.69,0.695,0.7,0.705,0.712,0.72,0.726,0.73,0.734,0.737,0.74,0.743,0.745,0.747
10,0.635,0.644,0.653,0.658,0.663,0.669,0.681,0.687,0.692,0.696,0.7,0.704,0.707,0.711,0.713,0.716
12,0.562,0.571,0.579,0.586,0.593,0.599,0.613,0.619,0.626,0.631,0.636,0.64,0.644,0.647,0.65,0.653
14,0.498,0.507,0.515,0.522,0.53,0.537,0.548,0.558,0.565,0.57,0.575,0.58,0.584,0.588,0.591,0.595
16,0.443,0.451,0.46,0.467,0.474,0.481,0.494,0.503,0.51,0.516,0.522,0.527,0.532,0.536,0.539,0.543
18,0.392,0.4,0.408,0.415,0.422,0.429,0.443,0.453,0.46,0.467,0.473,0.478,0.483,0.487,0.49,0.493
20,0.348,0.356,0.364,0.371,0.377,0.384,0.397,0.407,0.415,0.421,0.427,0.432,0.437,0.441,0.445,0.448
22,0.309,0.317,0.325,0.332,0.338,0.344,0.356,0.367,0.375,0.381,0.387,0.391,0.396,0.4,0.403,0.407
24,0.275,0.282,0.29,0.295,0.301,0.307,0.319,0.329,0.336,0.342,0.348,0.353,0.358,0.362,0.365,0.368
26,0.246,0.252,0.259,0.265,0.27,0.276,0.287,0.296,0.304,0.309,0.315,0.319,0.324,0.328,0.332,0.336
28,0.218,0.224,0.23,0.235,0.241,0.246,0.257,0.265,0.272,0.278,0.284,0.288,0.293,0.297,0.3,0.304
30,0.195,0.2,0.205,0.21,0.216,0.222,0.232,0.239,0.246,0.251,0.257,0.261,0.265,0.268,0.272,0.275
,,,,,,,,,,,,,,,,
RadCalc v6.3  Build 2.2,,,,,,,,,,,,,,,,
1/9/2018 11:24,,,,,,,,,,,,,,,,
