TPR Table for NSH Trilogy #706, 6 MV Photons, Wedge = NONE
Northside Hospital Cancer Center

Field Size Increases to the Right->
Depth,5.00,6.00,7.00,8.00,9.00,10.00,12.00,14.00,16.00,18.00,20.00,22.00,24.00,26.00,28.00,30.00
0.50,0.735,0.741,0.746,0.752,0.757,0.762,0.773,0.789,0.803,0.813,0.824,0.832,0.839,0.847,0.854,0.862
1.00,0.948,0.948,0.948,0.950,0.952,0.954,0.960,0.965,0.968,0.970,0.972,0.974,0.977,0.979,0.981,0.983
1.50,0.996,0.997,0.997,0.997,0.997,0.997,1.000,1.001,1.001,1.000,1.000,1.000,0.999,0.999,1.000,1.000
2.00,1.002,1.000,0.999,0.999,0.998,0.998,0.998,1.000,1.000,0.998,0.996,0.996,0.996,0.996,0.997,0.997
3.00,0.971,0.973,0.975,0.975,0.975,0.975,0.977,0.977,0.978,0.978,0.979,0.979,0.978,0.978,0.979,0.979
4.00,0.940,0.942,0.944,0.946,0.947,0.948,0.953,0.955,0.957,0.958,0.959,0.958,0.957,0.957,0.959,0.961
5.00,0.905,0.910,0.915,0.917,0.919,0.921,0.927,0.930,0.932,0.933,0.935,0.935,0.936,0.937,0.939,0.941
6.00,0.869,0.875,0.882,0.886,0.890,0.895,0.900,0.905,0.908,0.911,0.913,0.915,0.916,0.918,0.920,0.922
7.00,0.836,0.843,0.850,0.854,0.859,0.864,0.872,0.878,0.882,0.885,0.888,0.890,0.892,0.894,0.897,0.899
8.00,0.801,0.810,0.818,0.823,0.828,0.834,0.842,0.851,0.857,0.861,0.865,0.867,0.869,0.871,0.873,0.876
9.00,0.769,0.778,0.787,0.793,0.798,0.804,0.812,0.821,0.828,0.834,0.839,0.842,0.846,0.849,0.852,0.854
10.00,0.737,0.747,0.757,0.763,0.769,0.776,0.787,0.796,0.804,0.809,0.814,0.818,0.822,0.826,0.829,0.832
12.00,0.674,0.684,0.694,0.702,0.709,0.717,0.730,0.742,0.751,0.757,0.763,0.768,0.773,0.777,0.781,0.784
14.00,0.616,0.626,0.637,0.645,0.654,0.662,0.675,0.688,0.698,0.706,0.713,0.718,0.724,0.729,0.733,0.738
16.00,0.566,0.576,0.586,0.595,0.603,0.611,0.625,0.639,0.651,0.659,0.667,0.673,0.679,0.685,0.690,0.695
18.00,0.517,0.527,0.537,0.545,0.553,0.562,0.576,0.592,0.604,0.613,0.622,0.628,0.635,0.641,0.646,0.652
20.00,0.473,0.482,0.492,0.500,0.509,0.517,0.532,0.547,0.559,0.569,0.579,0.586,0.592,0.599,0.604,0.609
22.00,0.432,0.441,0.451,0.460,0.468,0.477,0.490,0.506,0.519,0.529,0.540,0.546,0.553,0.559,0.563,0.568
24.00,0.393,0.404,0.414,0.421,0.429,0.437,0.450,0.465,0.478,0.488,0.498,0.505,0.512,0.518,0.523,0.529
26.00,0.361,0.371,0.381,0.388,0.396,0.403,0.416,0.431,0.443,0.453,0.463,0.470,0.476,0.482,0.488,0.493
28.00,0.330,0.339,0.348,0.355,0.362,0.369,0.381,0.396,0.407,0.417,0.427,0.434,0.442,0.448,0.453,0.458
30.00,0.305,0.313,0.321,0.327,0.333,0.339,0.352,0.366,0.377,0.387,0.397,0.403,0.410,0.416,0.421,0.426

RadCalc v6.3  Build 2.2
01/09/2018  11:24:49 AM
