Northside Hospital Cancer Center: NSH Trilogy #706, 6 MV Photon MU Calc Params Table
Wedge Factors for NSH Trilogy #706, 6 MV Photons

Field Size Increases to the Right->
Wedge Name,5.0,6.0,7.0,8.0,9.0,10.0,12.0,14.0,16.0,18.0,20.0,22.0,24.0,26.0,28.0,30.0
U15W,0.711,0.711,0.710,0.710,0.711,0.711,0.712,0.713,0.715,0.718,0.720,0.722,0.724,0.727,0.729,0.731
U30W,0.549,0.549,0.549,0.549,0.549,0.549,0.552,0.555,0.557,0.560,0.563,0.567,0.570,0.574,0.577,0.581
U45W,0.490,0.489,0.488,0.488,0.488,0.488,0.490,0.491,0.492,0.494,0.496,0.496,0.496,0.496,0.496,0.496
U60W,0.406,0.405,0.404,0.404,0.405,0.405,0.406,0.408,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409
EDW: 10.0 deg,0.980,0.975,0.969,0.963,0.957,0.951,0.938,0.924,0.909,0.894,0.878,0.870,0.863,0.856,0.851,0.845
EDW: 15.0 deg,0.970,0.962,0.954,0.945,0.936,0.927,0.909,0.889,0.869,0.848,0.826,0.815,0.804,0.795,0.787,0.779
EDW: 20.0 deg,0.960,0.949,0.938,0.927,0.915,0.904,0.880,0.855,0.830,0.804,0.777,0.763,0.750,0.739,0.728,0.718
EDW: 25.0 deg,0.949,0.935,0.922,0.908,0.894,0.880,0.852,0.822,0.793,0.763,0.732,0.715,0.700,0.686,0.673,0.661
EDW: 30.0 deg,0.937,0.921,0.905,0.889,0.872,0.856,0.823,0.789,0.756,0.722,0.689,0.669,0.651,0.635,0.620,0.606
EDW: 45.0 deg,0.896,0.871,0.847,0.822,0.798,0.775,0.729,0.685,0.643,0.602,0.564,0.536,0.511,0.488,0.467,0.448
EDW: 60.0 deg,0.834,0.797,0.762,0.729,0.697,0.667,0.611,0.559,0.513,0.471,0.432,0.396,0.363,0.334,0.306,0.281
L15W,0.706,0.707,0.707,0.707,0.708,0.708,0.711,0.714,0.717,0.720,0.723,0.726,0.730,0.733,0.737,0.740
L30W,0.543,0.543,0.543,0.544,0.545,0.546,0.550,0.554,0.558,0.562,0.566,0.570,0.575,0.579,0.584,0.588
L45W,0.482,0.482,0.481,0.481,0.481,0.481,0.484,0.486,0.488,0.491,0.494,0.494,0.494,0.494,0.494,0.494
L60W,0.393,0.393,0.393,0.394,0.395,0.396,0.399,0.402,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403

RadCalc v6.3  Build 2.2
01/09/2018  11:21:45 AM
